PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional),,
2768064;Church/Synagogue;FIRST BAPTIST CHILD CENTER;Midland;TX;;;;;;,,
2768337;Church/Synagogue;ST LUKES CHILD DEV PROGRAM;Midland;TX;;;;;;,,
2771891;;MARY MILES NURSERY;Amarillo;TX;;;;;;,,
2772041;Independent Center;WATLEY LEARNING CENTER;Amarillo;TX;;;;;;,,
2772352;Church/Synagogue;CHRISTIAN LEARNING CENTER;Canyon;TX;;;;;;,,
2774922;Church/Synagogue;LIGHTHOUSE CHRISTIAN ACADEMY;Fort Worth;TX;;;;;;,,
2775914;Church/Synagogue;FIRST UNITED METHODIST DAY SCH;Hurst;TX;;;;;;,,
2779001;Church/Synagogue;GRACE TEMPLE CHILD DEV CENTER;San Angelo;TX;;;;;;,,
2784472;Church/Synagogue;SCHOOL FOR LITTLE PEOPLE;Wichita Falls;TX;;;;;;,,
2785311;Church/Synagogue;HOPE PRESBY CHILDREN'S CENTER;Austin;TX;;;;;;,,
2787773;Independent Center;MIDDLEBURY CO-OP NURSERY SCH;Middlebury;VT;;;;;;,,
2792481;Church/Synagogue;SEVEN CORNERS CHILDRENS CTR;Falls Church;VA;;;;;;,,
2792780;;WINCHESTER DAY NURSERY;Winchester;VA;;;;;;,,
2793679;Other Chains;MINNIELAND ACADEMY-OCCOQUAN;Woodbridge;VA;;;;;;,,
2798382;Independent Center;NEWPORT CHILDREN'S SCHOOL;Bellevue;WA;;;;;;,,
2798899;Independent Center;COUNTRY VILLAGE DAY SCHOOL;Mercer Island;WA;;;;;;,,
2804228;YMCA/YWCA;YMCA DAY CARE CENTER;Huntington;WV;;;;;;,,
2806824;Independent Center;CAMPUS FOR KIDS;Madison;WI;;;;;;,,
2807971;Independent Center;PRESCHOOL OF THE ARTS;Madison;WI;;;;;;,,
2809321;College/University Based;UW-EAU CLAIRE CHILDREN'S CTR;Eau Claire;WI;;;;;;,,
2831659;Independent Center;KIDS & CRIBS DAY CARE;Fort Thomas;KY;;;;;;,,
2833530;Church/Synagogue;ADATH JESHURUM PRE-SCHOOL;Louisville;KY;;;;;;,,
2848066;Church/Synagogue;HOPE CHRISTIAN SCHOOL;Freehold;NJ;;;;;;,,
2848092;Church/Synagogue;EPIPHANEY WEEKDAY SCHOOL;Alexandria;VA;;;;;;,,
2851439;Church/Synagogue;CHRIST MEMORIAL CHILD CARE CTR;Saint Louis;MO;;;;;;,,
2852079;Montessori;FAIRBANKS MONTESSORI SCHOOL;Fairbanks;AK;;;;;;,,
2852160;Church/Synagogue;CHRIST LUTHERAN PRE-SCHOOL;Lincoln;NE;;;;;;,,
2852938;Church/Synagogue;HOPE CHRISTIAN PRE-SCHOOL;Rochester;NY;;;;;;,,
2854699;Montessori;MONTESSORI SCHOOL-WOOSTER;Wooster;OH;;;;;;,,
2863951;Church/Synagogue;HEARTS & MINDS EC PROGRAM;Omaha;NE;;;;;;,,
2867983;Church/Synagogue;CRESTWOOD CHRISTIAN CHLD CARE;Lexington;KY;;;;;;,,
2868298;Independent Center;EDUCATIONAL PLAYCARE-MANCHESTE;Manchester;CT;;;;;;,,
2868808;YMCA/YWCA;YMCA PRE-SCH & SACC-MILFORD;Milford;CT;;;;;;,,
