PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Original_Name;Normalized_Name;Normalized_Name_Core;Search_Name_Primary;Search_Name_Variants;Cleaning_Rules_Applied
2978661;Independent Center;E PROVIDENCE BOYS & GIRLS CLUB;East Providence;RI;;;;;;,,;E PROVIDENCE BOYS & GIRLS CLUB;E PROVIDENCE BOYS AND GIRLS CLUB;E BOYS GIRLS CLUB;E PROVIDENCE BOYS AND GIRLS CLUB;E PROVIDENCE BOYS AND GIRLS CLUB || E PROVIDENCE BOYS GIRLS CLUB || E PROVIDENCE BOYS AND GIRLS || E BOYS GIRLS CLUB;removed city tokens from core: PROVIDENCE
2982129;Independent Center;SPECIAL CARE;Oklahoma City;OK;;;;;;,,;SPECIAL CARE;SPECIAL CARE;SPECIAL;SPECIAL CARE;SPECIAL CARE || SPECIAL;
2983769;Church/Synagogue;CALVARY CHILDREN'S CENTER;Naperville;IL;;;;;;,,;CALVARY CHILDREN'S CENTER;CALVARY CHILDRENS CENTER;CALVARY;CALVARY CHILDRENS CENTER;CALVARY CHILDRENS CENTER || CALVARY;
2985248;Independent Center;FOR CHILDREN ONLY DAY SCHOOL;Pearland;TX;;;;;;,,;FOR CHILDREN ONLY DAY SCHOOL;FOR CHILDREN ONLY DAY SCHOOL;ONLY;FOR CHILDREN ONLY DAY SCHOOL;FOR CHILDREN ONLY DAY SCHOOL || FOR ONLY || ONLY;
2990774;College/University Based;CSUDH CHILDREN'S CENTER;Carson;CA;;;;;;,,;CSUDH CHILDREN'S CENTER;CSUDH CHILDRENS CENTER;CSUDH;CSUDH CHILDRENS CENTER;CSUDH CHILDRENS CENTER || CSUDH;
2995774;College/University Based;MIDLAND COLLEGE CHILD DEV CTR;Midland;TX;;;;;;,,;MIDLAND COLLEGE CHILD DEV CTR;MIDLAND COLLEGE CHILD DEV CTR;COLLEGE;MIDLAND COLLEGE CHILD DEVELOPMENT CENTER;MIDLAND COLLEGE CHILD DEVELOPMENT CENTER || MIDLAND COLLEGE CHILD DEVELOPMENT CTR || MIDLAND COLLEGE CHILD DEV CENTER || MIDLAND COLLEGE CHILD DEV CENTRE || MIDLAND COLLEGE CHILD DEV CTR || MIDLAND COLLEGE || COLLEGE;DEV->DEVELOPMENT || CTR->CENTER || CTR->CENTRE || DEV CTR->DEVELOPMENT CENTER || removed city tokens from core: MIDLAND
3018109;Church/Synagogue;ST PAUL LUTHERAN CHILD CARE;Saint Joseph;MO;;;;;;,,;ST PAUL LUTHERAN CHILD CARE;ST PAUL LUTHERAN CHILD CARE;ST PAUL LUTHERAN;SAINT PAUL LUTHERAN CHILD CARE;SAINT PAUL LUTHERAN CHILD CARE || ST PAUL LUTHERAN CHILD CARE || ST PAUL LUTHERAN;ST->SAINT || ST->ST
3026560;YMCA/YWCA;YWCA KEY PROGRAM;Lewiston;ME;;;;;;,,;YWCA KEY PROGRAM;YWCA KEY PROGRAM;YWCA KEY;YWCA KEY PROGRAM;YWCA KEY PROGRAM || YWCA KEY;
3031292;Church/Synagogue;HOLY SPIRIT CHILD CARE;Louisville;KY;;;;;;,,;HOLY SPIRIT CHILD CARE;HOLY SPIRIT CHILD CARE;HOLY SPIRIT;HOLY SPIRIT CHILD CARE;HOLY SPIRIT CHILD CARE || HOLY SPIRIT;
3038018;YMCA/YWCA;SPENCER FAMILY'S YMCA;Spencer;IA;;;;;;,,;SPENCER FAMILY'S YMCA;SPENCER FAMILYS YMCA;FAMILYS YMCA;SPENCER FAMILYS YMCA;SPENCER FAMILYS YMCA || FAMILYS YMCA;removed city tokens from core: SPENCER
3053604;Church/Synagogue;SOLEL PRE-SCHOOL;Scottsdale;AZ;;;;;;,,;SOLEL PRE-SCHOOL;SOLEL PRESCHOOL;SOLEL;SOLEL PRESCHOOL;SOLEL PRESCHOOL || SOLEL;
